NO_OF_FRAMES	720
NO_OF_CAMERAS	7
NO_OF_MARKERS	2
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-17, 08:53:44	912.56663253
DATA_INCLUDED	3D
MARKER_NAMES	right_knee	right_ankle
Frame	Time	right_knee X	right_knee Y	right_knee Z	right_ankle X	right_ankle Y	right_ankle Z	
322	2.68333	591.917	1179.422	509.677	768.652	1296.906	183.851
323	2.69167	586.373	1172.478	509.492	754.282	1284.432	176.723
324	2.70000	580.933	1165.670	508.787	739.572	1271.858	169.883
325	2.70833	575.606	1159.125	508.270	725.151	1258.645	162.816
326	2.71667	570.416	1152.447	507.466	710.285	1245.413	156.274
327	2.72500	565.458	1146.216	506.655	695.385	1231.872	150.062
328	2.73333	560.612	1139.876	506.040	680.609	1218.023	144.189
329	2.74167	555.784	1133.645	505.229	665.678	1203.973	138.537
330	2.75000	551.191	1127.512	504.434	650.865	1190.218	133.825
331	2.75833	546.527	1121.480	503.482	636.135	1176.105	129.057
332	2.76667	542.164	1115.502	502.803	621.725	1162.045	125.060
333	2.77500	537.517	1109.788	501.740	607.356	1147.896	121.466
334	2.78333	530.722	1103.765	501.432	593.218	1133.808	118.392
335	2.79167	525.805	1098.211	500.694	579.373	1119.931	115.807
336	2.80000	521.263	1092.820	500.152	565.554	1106.099	113.758
337	2.80833	516.767	1087.692	499.392	552.504	1092.276	112.123
338	2.81667	512.235	1082.428	498.588	539.963	1078.602	111.195
339	2.82500	507.571	1077.509	497.671	527.606	1065.433	110.499
340	2.83333	502.937	1072.733	497.229	516.052	1052.578	110.285
341	2.84167	498.229	1068.198	496.493	504.645	1040.196	110.142
342	2.85000	493.666	1063.458	495.906	494.128	1025.760	110.366
343	2.85833	489.012	1058.984	495.108	484.231	1013.487	110.835
344	2.86667	484.712	1054.709	494.651	474.681	1001.859	110.952
345	2.87500	480.398	1050.173	494.021	466.087	990.599	111.511
346	2.88333	476.334	1045.812	493.449	456.767	979.752	111.993
347	2.89167	472.366	1041.290	492.467	448.410	969.368	112.558
348	2.90000	468.409	1036.807	491.870	440.177	959.441	113.445
349	2.90833	464.410	1032.492	491.094	432.726	950.165	113.776
350	2.91667	460.284	1028.104	490.325	425.448	941.549	114.312
351	2.92500	456.212	1023.360	489.585	419.330	933.694	114.448
352	2.93333	451.833	1018.923	488.960	413.611	926.355	114.402
353	2.94167	447.337	1013.981	488.556	408.295	920.124	114.200
354	2.95000	442.686	1009.022	488.196	404.028	913.815	114.040
355	2.95833	438.260	1004.033	487.540	399.504	908.766	113.538
356	2.96667	433.729	999.058	487.167	396.082	904.248	112.873
357	2.97500	429.442	994.274	486.498	392.829	900.095	112.117
358	2.98333	425.356	989.905	485.866	390.522	896.237	111.139
359	2.99167	421.257	985.621	485.235	388.328	893.671	110.416
360	3.00000	417.726	981.227	484.340	386.782	890.563	108.658
361	3.00833	414.259	977.478	483.137	385.872	888.390	107.152
362	3.01667	410.912	973.705	482.077	384.994	886.376	105.257
363	3.02500	407.685	970.175	480.616	384.663	885.051	103.291
364	3.03333	404.828	966.763	479.202	384.505	883.904	101.301
365	3.04167	402.158	963.663	477.737	384.616	883.107	99.817
366	3.05000	399.141	960.783	476.317	384.880	881.992	98.292
367	3.05833	396.847	957.969	474.704	384.551	879.997	96.896
368	3.06667	394.445	955.576	473.377	383.754	877.618	95.988
369	3.07500	392.392	953.032	471.807	382.805	874.741	95.105
370	3.08333	389.974	950.325	470.503	381.044	871.557	94.412
371	3.09167	387.004	947.478	469.959	379.787	869.615	93.869
372	3.10000	383.678	944.306	469.168	378.136	867.761	93.446
373	3.10833	379.964	941.236	468.692	376.933	866.465	93.151
374	3.11667	376.185	938.235	468.802	375.866	864.877	93.153
375	3.12500	372.294	935.010	468.898	374.784	864.065	93.157
376	3.13333	368.162	932.069	469.030	373.651	863.596	93.093
377	3.14167	363.726	929.221	469.186	372.770	863.074	93.147
